Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
ARRAGON alexandre,HBC CONFLANS,domicile,65.6,75.0,66.7,6.8,4.8,4.4,7,44,32,21,9,2,0,4,3,3,2
ARRAGON alexandre,HBC CONFLANS,extérieur,50.0,0.0,100.0,4.0,0.0,7.4,8,36,24,12,6,6,0,3,0,2,2
BIDEAU alexis,HBC CONFLANS,domicile,57.1,66.7,55.6,9.0,6.5,11.1,9,60,49,28,10,11,0,6,4,9,5
BIDEAU alexis,HBC CONFLANS,extérieur,59.3,66.7,62.5,10.7,9.5,18.5,9,61,54,32,16,6,0,6,4,8,5
BROST--MIRANDEL martin,HBC CONFLANS,domicile,60.0,0.0,0.0,1.0,0.0,0.0,2,10,5,3,1,1,0,0,0,1,0
BROUSSET victor,HBC CONFLANS,domicile,64.7,60.0,25.0,3.5,4.8,2.2,5,18,17,11,3,3,0,5,3,4,1
BROUSSET victor,HBC CONFLANS,extérieur,57.1,33.3,33.3,8.0,2.4,7.4,7,44,42,24,10,8,0,3,1,6,2
CALDEIRINHA loic,HBC CONFLANS,domicile,62.5,75.0,87.5,11.3,14.5,15.6,10,71,56,35,16,5,0,12,9,8,7
CALDEIRINHA loic,HBC CONFLANS,extérieur,61.3,77.8,100.0,6.3,16.7,11.1,8,36,31,19,6,6,0,9,7,3,3
CANO-CUNCHE william,HBC CONFLANS,domicile,100.0,0.0,0.0,0.3,0.0,0.0,1,2,1,1,0,0,0,0,0,0,0
CANO-CUNCHE william,HBC CONFLANS,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0
CAZAUDUMEC hugo,HBC CONFLANS,domicile,76.9,80.0,0.0,3.2,6.5,0.0,4,14,13,10,2,1,0,5,4,0,0
CAZAUDUMEC hugo,HBC CONFLANS,extérieur,68.8,0.0,100.0,3.7,0.0,3.7,6,16,16,11,1,4,0,0,0,1,1
COLLEAU benjamin,HBC CONFLANS,domicile,66.7,50.0,100.0,1.9,1.6,2.2,1,9,9,6,0,3,0,2,1,1,1
COLLEAU benjamin,HBC CONFLANS,extérieur,60.0,100.0,100.0,4.0,4.8,7.4,4,23,20,12,4,4,0,2,2,2,2
DECOUFLEY quentin,HBC CONFLANS,domicile,81.2,100.0,0.0,4.2,6.5,0.0,6,21,16,13,0,3,0,4,4,0,0
DECOUFLEY quentin,HBC CONFLANS,extérieur,88.9,0.0,0.0,2.7,0.0,0.0,4,10,9,8,0,1,0,0,0,0,0
