Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
BADI walid,JOINVILLE HBA,domicile,55.9,50.0,35.3,17.0,12.7,17.6,9,134,111,62,19,30,0,16,8,17,6
BADI walid,JOINVILLE HBA,extérieur,69.9,76.9,63.2,21.5,23.3,31.6,8,128,113,79,18,16,0,13,10,19,12
BANDALI mahdi - BANDALI,JOINVILLE HBA,domicile,100.0,0.0,0.0,0.3,0.0,0.0,8,103,1,1,0,0,77,0,0,0,0
BANDALI mahdi - BANDALI,JOINVILLE HBA,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,9,78,0,0,0,0,69,0,0,0,0
BOUTONNET loic,JOINVILLE HBA,domicile,64.7,80.0,100.0,6.0,6.3,5.9,8,42,34,22,2,10,0,5,4,2,2
BOUTONNET loic,JOINVILLE HBA,extérieur,75.0,0.0,0.0,4.9,0.0,0.0,5,29,24,18,4,2,0,1,0,0,0
BOUZIDI elyas,JOINVILLE HBA,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0,1,0
COVET nicolas,JOINVILLE HBA,extérieur,100.0,0.0,0.0,0.5,0.0,0.0,1,2,2,2,0,0,0,0,0,0,0
DE ARAUJO DUARTE diogo,JOINVILLE HBA,domicile,87.1,87.5,100.0,7.4,11.1,11.8,7,37,31,27,0,4,0,8,7,4,4
DE ARAUJO DUARTE diogo,JOINVILLE HBA,extérieur,90.5,100.0,100.0,5.2,2.3,5.3,5,23,21,19,1,1,0,1,1,2,2
DIANDA KABASELE-MBOMBO jonathan,JOINVILLE HBA,domicile,60.0,0.0,100.0,0.8,0.0,2.9,1,5,5,3,1,1,0,1,0,1,1
DIANDA KABASELE-MBOMBO jonathan,JOINVILLE HBA,extérieur,50.0,0.0,100.0,1.1,0.0,2.6,2,11,8,4,1,3,0,1,0,1,1
DIAS lucas-andre-armand,JOINVILLE HBA,domicile,0.0,0.0,0.0,0.0,0.0,0.0,8,71,1,0,1,0,52,1,0,0,0
DIAS lucas-andre-armand,JOINVILLE HBA,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,5,31,0,0,0,0,26,0,0,0,0
DORMOY guillaume,JOINVILLE HBA,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,8,0,0,0,0
DUPOUX andre,JOINVILLE HBA,domicile,71.9,90.9,0.0,6.3,15.9,0.0,4,34,32,23,4,5,0,11,10,3,0
DUPOUX andre,JOINVILLE HBA,extérieur,63.5,83.3,25.0,9.0,11.6,2.6,7,55,52,33,7,12,0,6,5,4,1
GENEVOIS nathan-jules-lucien,JOINVILLE HBA,domicile,0.0,0.0,0.0,0.0,0.0,0.0,4,41,0,0,0,0,32,0,0,0,0
GENEVOIS nathan-jules-lucien,JOINVILLE HBA,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,4,29,0,0,0,0,21,0,0,0,0
GRIGNOU lory-yann-yvon,JOINVILLE HBA,domicile,62.5,50.0,100.0,5.5,3.2,2.9,5,38,32,20,1,11,0,4,2,1,1
