Joueur,Équipe,Type_Match,nb_matchs,nb_actions,nb_tirs,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
ABOKOUN fabrice,RUEIL AC 1B,domicile,9,59,49,17,6,0,7,5,4,2
ABOKOUN fabrice,RUEIL AC 1B,extérieur,10,78,65,7,17,0,6,3,8,3
BARBOILLE romain,RUEIL AC 1B,domicile,1,6,6,1,2,0,2,1,1,0
BARBOILLE romain,RUEIL AC 1B,extérieur,4,26,24,2,7,0,3,2,0,0
BISKRI elyas,RUEIL AC 1B,domicile,1,4,4,1,1,0,0,0,0,0
BISKRI elyas,RUEIL AC 1B,extérieur,1,1,1,0,0,0,0,0,0,0
BOULDOIRES amelien,RUEIL AC 1B,domicile,6,44,0,0,0,43,0,0,0,0
BOULDOIRES amelien,RUEIL AC 1B,extérieur,6,63,0,0,0,59,0,0,0,0
BOUMOULA farouk,RUEIL AC 1B,domicile,8,78,58,10,11,0,9,5,13,8
BOUMOULA farouk,RUEIL AC 1B,extérieur,6,64,49,9,6,0,9,3,6,3
BOURBON pierrick,RUEIL AC 1B,domicile,5,18,16,5,2,0,2,1,0,0
BOURBON pierrick,RUEIL AC 1B,extérieur,6,34,33,3,8,0,4,3,4,4
CANNONI pierre-louis,RUEIL AC 1B,domicile,4,47,45,11,10,0,5,5,2,0
CANNONI pierre-louis,RUEIL AC 1B,extérieur,3,26,24,2,8,0,4,3,4,2
COCHARD antoine,RUEIL AC 1B,domicile,6,16,16,2,3,0,1,1,1,1
COCHARD antoine,RUEIL AC 1B,extérieur,6,21,17,3,5,0,1,1,0,0
CUNZI timo,RUEIL AC 1B,domicile,5,47,35,5,2,0,10,9,2,1
CUNZI timo,RUEIL AC 1B,extérieur,3,38,25,5,5,0,6,5,1,1
D'AVRINCOURT nathan,RUEIL AC 1B,domicile,5,37,36,10,5,0,1,1,4,1
D'AVRINCOURT nathan,RUEIL AC 1B,extérieur,3,20,19,4,5,0,1,0,1,1
DORMOY guillaume,RUEIL AC 1B,domicile,1,10,0,0,0,10,0,0,0,0
GANGNANT louis,RUEIL AC 1B,domicile,1,1,0,0,0,1,0,0,0,0
GUILLOT leonard,RUEIL AC 1B,domicile,4,19,16,3,3,0,2,1,0,0
GUILLOT leonard,RUEIL AC 1B,extérieur,2,4,4,0,3,0,2,0,0,0
GUISELIN fabien,RUEIL AC 1B,domicile,10,25,18,4,2,0,4,1,4,3
GUISELIN fabien,RUEIL AC 1B,extérieur,9,35,30,6,6,0,3,1,5,3
GUYON maxime,RUEIL AC 1B,extérieur,1,3,0,0,0,3,0,0,0,0
JOURDAN christophe,RUEIL AC 1B,domicile,2,23,0,0,0,23,0,0,0,0
KEITA elhadj,RUEIL AC 1B,domicile,2,6,5,1,0,0,1,1,0,0
LACRITICK mehdi,RUEIL AC 1B,domicile,1,12,10,2,3,0,1,0,1,0
LE BRET hippolyte,RUEIL AC 1B,domicile,1,4,4,1,2,0,0,0,1,0
LE CORRE guilherme,RUEIL AC 1B,domicile,8,29,25,6,6,0,4,3,4,1
MARECHAL antonin,RUEIL AC 1B,domicile,3,28,27,3,7,0,2,0,1,0
MARECHAL antonin,RUEIL AC 1B,extérieur,5,33,30,4,8,0,6,3,3,1
MARTZLOFF-SCHRODI francois - MARTZLOFF,RUEIL AC 1B,extérieur,1,3,0,0,0,2,0,0,0,0
MASSE thomas,RUEIL AC 1B,domicile,5,26,25,4,2,0,3,2,4,4
MASSE thomas,RUEIL AC 1B,extérieur,4,16,11,1,3,0,1,0,1,0
MEUNIER nicolas,RUEIL AC 1B,domicile,2,19,18,1,3,0,2,1,0,0
MILENKOVIC tom,RUEIL AC 1B,domicile,1,7,5,1,1,0,0,0,0,0
MILENKOVIC tom,RUEIL AC 1B,extérieur,1,8,6,0,3,0,0,0,1,1
MORIN hugo,RUEIL AC 1B,domicile,1,5,5,0,1,0,0,0,2,2
MOULY benjamin,RUEIL AC 1B,domicile,1,8,7,0,2,0,0,0,0,0
OYONO joan,RUEIL AC 1B,domicile,9,80,0,0,0,79,0,0,0,0
OYONO joan,RUEIL AC 1B,extérieur,10,92,0,0,0,84,0,0,0,0
PANCHE maxime,RUEIL AC 1B,extérieur,1,7,7,1,3,0,0,0,0,0
PECH matthieu,RUEIL AC 1B,extérieur,1,3,1,0,0,0,0,0,0,0
PORT maxime,RUEIL AC 1B,domicile,1,1,1,0,0,0,0,0,0,0
POUGET guillaume,RUEIL AC 1B,domicile,3,10,9,3,1,0,0,0,0,0
POUGET guillaume,RUEIL AC 1B,extérieur,2,10,10,1,3,0,2,2,0,0
REVEL--VITRY louis-alexandre,RUEIL AC 1B,domicile,2,9,7,0,0,0,0,0,0,0
REVEL--VITRY louis-alexandre,RUEIL AC 1B,extérieur,3,14,11,2,5,0,1,0,1,0
RIAT remi,RUEIL AC 1B,domicile,3,9,9,1,1,0,1,1,0,0
RIAT remi,RUEIL AC 1B,extérieur,3,21,21,1,3,0,3,2,0,0
ROTA corentin,RUEIL AC 1B,domicile,2,11,10,5,0,0,1,1,1,0
ROUDIER florian,RUEIL AC 1B,domicile,1,5,4,0,1,0,0,0,0,0
ROUDIER florian,RUEIL AC 1B,extérieur,1,3,2,0,0,0,1,1,0,0
SAISSAY gregoire,RUEIL AC 1B,domicile,3,20,19,1,7,0,5,2,2,1
SAISSAY gregoire,RUEIL AC 1B,extérieur,5,23,19,3,5,0,2,1,1,1
VAQUIE stanislas,RUEIL AC 1B,domicile,7,34,34,5,6,0,7,5,3,3
VAQUIE stanislas,RUEIL AC 1B,extérieur,10,55,52,7,8,0,8,5,0,0
VINCENT jordan,RUEIL AC 1B,extérieur,2,9,5,2,0,0,1,0,0,0
