Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
BASTAREAUD gregoire - BASTARREAUD,USC MAISONS-LAFFITTE HB,domicile,70.0,100.0,75.0,7.0,10.4,8.8,6,35,30,21,4,5,0,5,5,4,3
BASTAREAUD gregoire - BASTARREAUD,USC MAISONS-LAFFITTE HB,extérieur,45.8,80.0,80.0,4.8,8.0,17.4,7,27,24,11,5,8,0,5,4,5,4
BRUCHEC tanguy,USC MAISONS-LAFFITTE HB,domicile,0.0,0.0,0.0,0.0,0.0,0.0,7,57,1,0,1,0,52,0,0,1,0
BRUCHEC tanguy,USC MAISONS-LAFFITTE HB,extérieur,100.0,0.0,0.0,0.4,0.0,0.0,6,37,1,1,0,0,34,0,0,0,0
CELAUDOUX thomas,USC MAISONS-LAFFITTE HB,domicile,45.1,62.5,44.4,7.7,10.4,11.8,7,59,51,23,16,12,0,8,5,9,4
CELAUDOUX thomas,USC MAISONS-LAFFITTE HB,extérieur,41.8,50.0,25.0,10.0,14.0,8.7,9,61,55,23,15,17,0,14,7,8,2
DAZIN stephen,USC MAISONS-LAFFITTE HB,domicile,52.4,100.0,0.0,3.7,2.1,0.0,7,24,21,11,3,7,0,1,1,1,0
DAZIN stephen,USC MAISONS-LAFFITTE HB,extérieur,57.1,40.0,50.0,5.2,4.0,4.3,5,22,21,12,1,8,0,5,2,2,1
DEBRAY simon,USC MAISONS-LAFFITTE HB,domicile,64.0,60.0,50.0,5.4,6.2,2.9,3,25,25,16,3,6,0,5,3,2,1
DEBRAY simon,USC MAISONS-LAFFITTE HB,extérieur,53.8,100.0,0.0,3.0,4.0,0.0,2,13,13,7,4,2,0,2,2,0,0
DORMOY guillaume,USC MAISONS-LAFFITTE HB,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,4,0,0,0,0
DUBOS nicolas,USC MAISONS-LAFFITTE HB,domicile,66.7,50.0,100.0,3.3,2.1,2.9,7,19,15,10,1,4,0,2,1,1,1
DUBOS nicolas,USC MAISONS-LAFFITTE HB,extérieur,66.7,100.0,100.0,1.7,4.0,4.3,4,9,6,4,0,2,0,2,2,1,1
LABEDAN romain,USC MAISONS-LAFFITTE HB,domicile,50.0,75.0,0.0,4.3,6.2,0.0,9,35,26,13,8,5,0,4,3,3,0
LABEDAN romain,USC MAISONS-LAFFITTE HB,extérieur,52.5,66.7,0.0,9.1,8.0,0.0,9,53,40,21,11,8,0,6,4,1,0
LE CORRE guilherme,USC MAISONS-LAFFITTE HB,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,0,1,1,0,1,0,0,0
MALBEC benjamin,USC MAISONS-LAFFITTE HB,extérieur,66.7,100.0,0.0,0.9,2.0,0.0,1,4,3,2,1,0,0,1,1,0,0
MATHEY yann,USC MAISONS-LAFFITTE HB,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,1,0
MORIN hugo,USC MAISONS-LAFFITTE HB,domicile,70.0,33.3,25.0,4.7,2.1,2.9,7,26,20,14,4,2,0,3,1,4,1
MOURGUE thomas,USC MAISONS-LAFFITTE HB,domicile,47.8,50.0,16.7,3.7,2.1,2.9,6,27,23,11,5,7,0,2,1,6,1
MOURGUE thomas,USC MAISONS-LAFFITTE HB,extérieur,41.7,0.0,25.0,4.3,0.0,4.3,7,33,24,10,7,7,0,0,0,4,1
OPSOMER odelin,USC MAISONS-LAFFITTE HB,domicile,46.7,0.0,0.0,2.3,0.0,0.0,4,17,15,7,2,6,0,0,0,0,0
OPSOMER odelin,USC MAISONS-LAFFITTE HB,extérieur,58.8,50.0,66.7,4.3,2.0,8.7,3,18,17,10,5,2,0,2,1,3,2
OUBBEA adam,USC MAISONS-LAFFITTE HB,domicile,60.7,56.2,58.3,21.7,18.8,20.6,11,144,107,65,19,23,0,16,9,12,7
OUBBEA adam,USC MAISONS-LAFFITTE HB,extérieur,52.4,50.0,100.0,18.7,12.0,4.3,11,92,82,43,15,24,0,12,6,1,1
PETIT remy,USC MAISONS-LAFFITTE HB,domicile,58.3,45.5,72.7,11.7,10.4,23.5,9,62,60,35,14,11,0,11,5,11,8
PETIT remy,USC MAISONS-LAFFITTE HB,extérieur,48.5,50.0,25.0,7.0,10.0,4.3,10,34,33,16,12,5,0,10,5,4,1
POISSONNIER corentin,USC MAISONS-LAFFITTE HB,domicile,50.0,0.0,100.0,1.0,0.0,5.9,3,7,6,3,2,1,0,1,0,2,2
POISSONNIER corentin,USC MAISONS-LAFFITTE HB,extérieur,44.4,100.0,100.0,1.7,2.0,4.3,3,10,9,4,3,2,0,1,1,1,1
PORT maxime,USC MAISONS-LAFFITTE HB,domicile,60.0,100.0,0.0,1.0,2.1,0.0,2,7,5,3,2,0,0,1,1,0,0
