Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
ATTARD dylan,USM VILLEPARISIS,domicile,60.4,75.0,50.0,10.7,20.9,11.8,10,64,53,32,7,14,0,12,9,8,4
ATTARD dylan,USM VILLEPARISIS,extérieur,61.0,100.0,100.0,8.4,5.7,9.1,11,57,41,25,5,11,1,3,3,3,3
BACLET steven-pierre,USM VILLEPARISIS,domicile,54.5,30.0,50.0,14.1,7.0,8.8,10,80,77,42,17,18,0,10,3,6,3
BACLET steven-pierre,USM VILLEPARISIS,extérieur,48.6,62.5,55.6,17.1,9.4,15.2,11,108,105,51,32,22,0,8,5,9,5
BEZZAOUIA abdoullah,USM VILLEPARISIS,domicile,56.5,62.5,66.7,8.7,11.6,5.9,11,52,46,26,6,14,0,8,5,3,2
BEZZAOUIA abdoullah,USM VILLEPARISIS,extérieur,73.7,70.0,0.0,9.4,13.2,0.0,11,46,38,28,6,4,0,10,7,0,0
BONNERAVE remi,USM VILLEPARISIS,domicile,83.3,100.0,100.0,5.0,7.0,5.9,7,27,18,15,1,2,0,3,3,2,2
BONNERAVE remi,USM VILLEPARISIS,extérieur,78.9,75.0,66.7,10.0,11.3,6.1,8,44,38,30,1,7,0,8,6,3,2
CALLEEMALLAY bradley,USM VILLEPARISIS,extérieur,100.0,0.0,0.0,0.3,0.0,0.0,1,2,1,1,0,0,0,0,0,0,0
CHOUAIEB naim,USM VILLEPARISIS,domicile,0.0,0.0,0.0,0.0,0.0,0.0,6,35,0,0,0,0,29,0,0,0,0
CHOUAIEB naim,USM VILLEPARISIS,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,4,0,0,0,0
COLIN arthur-paul - COLIN,USM VILLEPARISIS,domicile,53.7,72.7,61.5,14.8,18.6,23.5,10,96,82,44,18,20,0,11,8,13,8
COLIN arthur-paul - COLIN,USM VILLEPARISIS,extérieur,45.6,43.8,36.8,17.4,13.2,21.2,11,136,114,52,31,31,0,16,7,19,7
DACOURT sydney,USM VILLEPARISIS,domicile,35.7,0.0,0.0,3.4,0.0,0.0,6,30,28,10,7,11,0,2,0,2,0
DACOURT sydney,USM VILLEPARISIS,extérieur,38.9,33.3,40.0,2.3,1.9,6.1,6,20,18,7,5,6,0,3,1,5,2
DORMOY guillaume,USM VILLEPARISIS,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,2,0,0,0,0
FERDERBAR mickael,USM VILLEPARISIS,domicile,76.0,80.0,0.0,6.4,9.3,0.0,11,33,25,19,1,5,0,5,4,0,0
FERDERBAR mickael,USM VILLEPARISIS,extérieur,78.6,100.0,100.0,3.7,3.8,3.0,7,21,14,11,1,2,0,2,2,1,1
GANARD lorenzo,USM VILLEPARISIS,domicile,50.0,0.0,0.0,0.3,0.0,0.0,2,2,2,1,0,1,0,0,0,0,0
GANARD lorenzo,USM VILLEPARISIS,extérieur,100.0,0.0,0.0,0.3,0.0,0.0,1,2,1,1,0,0,0,0,0,0,0
GUERIT benjamin-kim,USM VILLEPARISIS,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,0,0
GUERIT benjamin-kim,USM VILLEPARISIS,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0,7,0,0,0,0
HAMMAOUI merwan,USM VILLEPARISIS,extérieur,60.0,100.0,50.0,1.0,1.9,3.0,3,5,5,3,1,1,0,1,1,2,1
