Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
AMIENS jeremie,VERSAILLES HBC,domicile,57.1,0.0,100.0,1.4,0.0,5.3,1,7,7,4,0,3,0,0,0,1,1
AMIENS jeremie,VERSAILLES HBC,extérieur,75.0,0.0,0.0,1.1,0.0,0.0,1,5,4,3,0,1,0,0,0,0,0
BOURSIER jeremy,VERSAILLES HBC,domicile,33.3,0.0,50.0,1.4,0.0,5.3,5,13,12,4,0,8,0,1,0,2,1
BOURSIER jeremy,VERSAILLES HBC,extérieur,18.2,0.0,50.0,0.7,0.0,2.6,4,11,11,2,3,6,0,3,0,2,1
BRAMAT gaspard,VERSAILLES HBC,domicile,62.8,60.0,33.3,17.3,8.3,10.5,10,89,78,49,11,18,0,5,3,6,2
BRAMAT gaspard,VERSAILLES HBC,extérieur,60.9,66.7,66.7,19.3,17.6,21.1,10,99,87,53,16,18,0,9,6,12,8
BURDEL matthias,VERSAILLES HBC,domicile,28.6,0.0,0.0,1.4,0.0,0.0,4,14,14,4,4,6,0,0,0,0,0
CAPERAA raphael,VERSAILLES HBC,domicile,0.0,0.0,0.0,0.0,0.0,0.0,9,83,0,0,0,0,66,0,0,0,0
CAPERAA raphael,VERSAILLES HBC,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,10,87,0,0,0,0,80,0,0,0,0
CARRE benjamin,VERSAILLES HBC,extérieur,80.0,100.0,100.0,1.5,2.9,2.6,2,6,5,4,1,0,0,1,1,1,1
DORMOY guillaume,VERSAILLES HBC,domicile,0.0,0.0,0.0,0.0,0.0,0.0,7,76,0,0,0,0,63,0,0,0,0
GASSIN diordan-dave,VERSAILLES HBC,domicile,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,0,2,2,0,2,0,0,0
GATUINGT antoine,VERSAILLES HBC,domicile,100.0,100.0,0.0,1.1,2.8,0.0,2,3,3,3,0,0,0,1,1,0,0
GATUINGT antoine,VERSAILLES HBC,extérieur,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0
GATUINGT arthur,VERSAILLES HBC,domicile,65.2,52.9,33.3,15.9,25.0,5.3,10,75,69,45,9,15,0,17,9,3,1
GATUINGT arthur,VERSAILLES HBC,extérieur,55.3,50.0,60.0,7.6,8.8,7.9,7,42,38,21,8,9,0,6,3,5,3
GUIMBERTEAU victor,VERSAILLES HBC,domicile,65.7,60.0,0.0,8.1,8.3,0.0,11,44,35,23,3,9,0,5,3,1,0
GUIMBERTEAU victor,VERSAILLES HBC,extérieur,65.6,60.0,80.0,7.6,8.8,10.5,9,40,32,21,1,10,0,5,3,5,4
LE CORRE guilherme,VERSAILLES HBC,domicile,60.0,100.0,100.0,1.1,2.8,5.3,1,5,5,3,1,1,0,1,1,1,1
LOMBA FARIA jean-michel,VERSAILLES HBC,domicile,52.8,50.0,66.7,6.7,2.8,21.1,5,38,36,19,4,13,0,2,1,6,4
